

### Centroids within bounding box (Lat -10 to 10, Lon 100 to 120)
                              0                                        1
HYP_HR_SR_OB_DR_11_35__layer_58 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_60 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_61 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_66 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_10_35__layer_3  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_10_35__layer_6  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_10  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_12  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_13  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_21  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_22  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_38  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_39  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_44  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_47  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_48  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_71  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_73  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_12_35__layer_8 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_12 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_25 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_41 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_45 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_74 [114.39999992027879, -8.133333013392985]
 HYP_HR_SR_OB_DR_10_34__layer_2  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_12  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_16  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_17  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_28  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_37  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_39  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_73  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_11_34__layer_14 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_25 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_45 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_58 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_72 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_74 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_12_34__layer_2 [105.86666693910956, -8.133333013392985]
 HYP_HR_SR_OB_DR_12_34__layer_4 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_11 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_24 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_26 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_48 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_54 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_57 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_73 [105.86666693910956, -8.133333013392985]
 HYP_HR_SR_OB_DR_11_35__layer_2 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_35__layer_6 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_11 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_13 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_41 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_50 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_55 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_64 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_65 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_73 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_10_35__layer_1  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_14  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_23  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_24  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_30  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_50  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_54  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_60  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_67  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_12_35__layer_6 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_27 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_30 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_39 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_44 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_60 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_65 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_67 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_71 [114.39999992027879, -8.133333013392985]
 HYP_HR_SR_OB_DR_10_34__layer_1  [105.86666693910956, 8.933332990854979]
 HYP_HR_SR_OB_DR_10_34__layer_9  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_15  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_20  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_38  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_60  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_11_34__layer_17 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_22 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_37 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_48 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_51 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_66 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_68 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_69 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_75 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_12_34__layer_3 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_15 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_37 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_63 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_71 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_74 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_75 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_11_35__layer_10 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_17 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_22 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_27 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_29 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_32 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_33 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_46 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_47 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_56 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_62 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_69 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_70 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_72 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_10_35__layer_2  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_10_35__layer_8  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_15  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_18  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_51  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_53  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_58  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_59  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_64  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_68  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_74  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_12_35__layer_13 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_35 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_37 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_40 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_46 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_48 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_52 [114.39999992027879, -8.133333013392985]
 HYP_HR_SR_OB_DR_10_34__layer_3  [105.86666693910956, 8.933332990854979]
 HYP_HR_SR_OB_DR_10_34__layer_7  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_10  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_13  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_26  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_30  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_43  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_53  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_56  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_64  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_75  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_11_34__layer_13 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_26 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_29 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_53 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_60 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_61 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_70 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_12_34__layer_8 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_25 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_30 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_32 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_39 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_46 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_47 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_53 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_56 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_58 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_61 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_64 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_68 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_11_35__layer_14 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_24 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_35 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_48 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_52 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_59 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_68 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_71 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_10_35__layer_7  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_33  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_35  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_37  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_40  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_43  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_57  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_62  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_63  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_70  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_12_35__layer_9 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_20 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_22 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_23 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_24 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_26 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_32 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_33 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_43 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_50 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_55 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_59 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_66 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_75 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_10_34__layer_19  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_25  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_32  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_40  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_41  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_44  [105.86666693910956, 8.933332990854979]
 HYP_HR_SR_OB_DR_11_34__layer_3 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_34__layer_4 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_34__layer_8 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_34__layer_9 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_12 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_19 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_28 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_38 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_41 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_44 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_56 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_73 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_12_34__layer_9 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_10 [105.86666693910956, -8.133333013392985]
